landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count
landslide,rain,large,mine,1
mudslide,downpour,small,unknown,0
landslide,downpour,large,unknown,1
landslide,monsoon,medium,unknown,1
landslide,tropical_cyclone,medium,unknown,0
landslide,downpour,medium,unknown,0
mudslide,downpour,small,unknown,0
complex,tropical_cyclone,medium,unknown,1
complex,downpour,medium,unknown,1
complex,downpour,medium,unknown,1
landslide,unknown,unknown,above_road,0
mudslide,rain,small,unknown,0
landslide,downpour,small,above_road,0
landslide,downpour,medium,unknown,0
mudslide,rain,small,unknown,0
landslide,rain,small,unknown,0
landslide,rain,small,unknown,0
mudslide,rain,small,unknown,0
landslide,downpour,medium,unknown,0
mudslide,rain,small,unknown,0
mudslide,unknown,small,unknown,0
complex,rain,small,unknown,0
mudslide,rain,small,unknown,0
landslide,downpour,medium,unknown,1
mudslide,rain,small,unknown,0
landslide,rain,medium,unknown,0
landslide,rain,medium,unknown,1
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,1
mudslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,0
mudslide,rain,small,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,1
mudslide,downpour,small,unknown,0
complex,downpour,small,unknown,0
landslide,monsoon,medium,unknown,1
landslide,monsoon,medium,unknown,1
landslide,downpour,medium,unknown,1
mudslide,rain,small,urban,0
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,monsoon,large,unknown,1
landslide,monsoon,medium,unknown,1
mudslide,downpour,small,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,small,above_road,0
mudslide,downpour,small,unknown,0
mudslide,downpour,small,unknown,0
mudslide,downpour,large,unknown,1
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,tropical_cyclone,medium,unknown,0
landslide,rain,medium,unknown,1
landslide,tropical_cyclone,medium,unknown,0
landslide,tropical_cyclone,medium,unknown,0
mudslide,downpour,very_large,unknown,0
landslide,rain,medium,unknown,1
mudslide,downpour,small,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,1
landslide,rain,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,tropical_cyclone,medium,natural_slope,1
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
rock_fall,unknown,small,above_road,0
landslide,rain,small,above_road,0
mudslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,1
landslide,rain,medium,unknown,1
